results_studies_id,results_id,results_position,results_queries_id,results_url,results_main,results_se,hash
53,670129,60,3620,"Migranten Gersthofen","https://sex.thecoop.tv/ficktreffen-in-gersthofen",https://sex.thecoop.tv/,Google
53,670130,61,3620,"Migranten Gersthofen","https://www.randstad.de/standorte/randstad-gersthofen_5047/",https://www.randstad.de/,Google
53,670131,62,3620,"Migranten Gersthofen","https://www.mpisoc.mpg.de/sozialpolitik-mea/forschung/migration/erwartungen-von-migrantinnen/",https://www.mpisoc.mpg.de/,Google
53,670132,63,3620,"Migranten Gersthofen","https://www.im-muenchen.de/flucht-migration/migranten-mit-daueraufenthalt.html",https://www.im-muenchen.de/,Google
53,670133,64,3620,"Migranten Gersthofen","https://www.hs-augsburg.de/Orientierung/Gefluechtete-und-Migranten.html",https://www.hs-augsburg.de/,Google
53,670134,65,3620,"Migranten Gersthofen","https://www.regensburg.de/rathaus/aemteruebersicht/direktorium-1/amt-fuer-integration-und-migration/abteilung-willkommenskultur-und-integration/mimi",https://www.regensburg.de/,Google
53,687526,1,3621,"Migranten Bad Kissingen","https://unterfranken.paritaet-bayern.de/hilfe-und-angebote/migrationsberatung-projekte/migrationsberatung-bad-kissingen/",https://unterfranken.paritaet-bayern.de/,Google
53,687527,2,3621,"Migranten Bad Kissingen","https://www.beratungswegweiser-kg.de/themen/migration-integration/",https://www.beratungswegweiser-kg.de/,Google
53,687528,3,3621,"Migranten Bad Kissingen","http://www.landkreis-badkissingen.de/buerger-politik/aktuelle-meldungen/m_5173",http://www.landkreis-badkissingen.de/,Google
53,687529,4,3621,"Migranten Bad Kissingen","https://www.landkreis-badkissingen.de/buerger--politik/buergerservice/fachbereiche-und-abteilungen/jugend--soziales/integrationsbeauftragter/index.html",https://www.landkreis-badkissingen.de/,Google
53,687530,5,3621,"Migranten Bad Kissingen","https://integreat.app/lkbadkissingen/de/willkommen/beratungundhilfe/mobiler-jugendmigrationsdienst",https://integreat.app/,Google
53,687531,6,3621,"Migranten Bad Kissingen","https://www.caritas-kissingen.de/beratung-und-hilfe/asyl-und-migration",https://www.caritas-kissingen.de/,Google
53,687532,7,3621,"Migranten Bad Kissingen","https://www.caritas-kissingen.de/ehrenamt-und-unterst%C3%BCtzung/asyl-und-integration",https://www.caritas-kissingen.de/,Google
53,687533,8,3621,"Migranten Bad Kissingen","https://www.caritas.de/adressen/caritasverband-f.-d.-landkreis-bad-kissingen-e.-v/fluechtlingsberatung/97688-bad-kissingen/89363",https://www.caritas.de/,Google
53,687534,9,3621,"Migranten Bad Kissingen","http://www.netzwerk-migrationsarbeit.de/",http://www.netzwerk-migrationsarbeit.de/,Google
53,687535,10,3621,"Migranten Bad Kissingen","https://www.caritas-wuerzburg.de/hilfe-beratung/migrationasyl/adressen-migrationsdienste/",https://www.caritas-wuerzburg.de/,Google
53,687536,11,3621,"Migranten Bad Kissingen","https://www.die-gfi.de/schweinfurt/arbeitsfelder/migration-und-integration/projekte/",https://www.die-gfi.de/,Google
53,687537,12,3621,"Migranten Bad Kissingen","https://www.mainpost.de/regional/bad-kissingen/integration-als-win-win-situation-art-10253282",https://www.mainpost.de/,Google
53,687538,13,3621,"Migranten Bad Kissingen","https://www.mainpost.de/regional/bad-kissingen/fluechtlinge-vier-unterkuenfte-schliessen-art-9439272",https://www.mainpost.de/,Google
53,687539,14,3621,"Migranten Bad Kissingen","https://www.jugend-unterfranken.de/migration/info/jugend-und-migration-in-unterfranken/",https://www.jugend-unterfranken.de/,Google
53,687540,15,3621,"Migranten Bad Kissingen","http://www.netzwerk-be-kg.de/servicestelle-buergerengagement/dazulernen/vergangene-veranstaltungen/12-03-14-austauschtreffen-unterstuetzung-fuer-asylbewerber/",http://www.netzwerk-be-kg.de/,Google
53,687541,16,3621,"Migranten Bad Kissingen","https://docplayer.org/41317119-Netzwerk-fuer-migrationsarbeit.html",https://docplayer.org/,Google
53,687542,17,3621,"Migranten Bad Kissingen","https://www.oerlenbach.de/einrichtungen/helferkreis-der-asylbewerber-in-ebenhausen/index.html",https://www.oerlenbach.de/,Google
53,687543,18,3621,"Migranten Bad Kissingen","https://osthessen-news.de/n11588651/treffen-des-netzwerks-fuer-migrationsarbeit-ehrenamtliche-sind-wichtig.html",https://osthessen-news.de/,Google
53,687544,19,3621,"Migranten Bad Kissingen","http://bipo-badkissingen.bildungsloesungen.eu/infothek/infos-fuer-asylbewerber-und-fluechtlinge",http://bipo-badkissingen.bildungsloesungen.eu/,Google
53,687545,20,3621,"Migranten Bad Kissingen","https://www.bfz.de/kurs/eca-91096/allgemeiner-integrationskurs-bamf-abends",https://www.bfz.de/,Google
53,687546,21,3621,"Migranten Bad Kissingen","https://www.zwst.org/de/mbe/fluechtlingshilfe/",https://www.zwst.org/,Google
53,687547,22,3621,"Migranten Bad Kissingen","https://statistik.arbeitsagentur.de/Auswahl/raeumlicher-Geltungsbereich/Politische-Gebietsstruktur/Kreise/Bayern/09672-Bad-Kissingen.html",https://statistik.arbeitsagentur.de/,Google
53,687548,23,3621,"Migranten Bad Kissingen","https://www.finanzamt.bayern.de/Informationen/Steuerinfos/Zielgruppen/Vereine/default.php?f=Bad-Kissingen&c=n&d=x&t=x",https://www.finanzamt.bayern.de/,Google
53,687549,24,3621,"Migranten Bad Kissingen","https://donner-partner.de/standorte/bayern/bad-kissingen/",https://donner-partner.de/,Google
53,687550,25,3621,"Migranten Bad Kissingen","https://donner-partner.de/bayern/badkissingen/",https://donner-partner.de/,Google
53,687551,26,3621,"Migranten Bad Kissingen","https://www.jugendmigrationsdienste.de/jmd/schweinfurt",https://www.jugendmigrationsdienste.de/,Google
